PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	APPLEBY, JB; QUINN, R; PEZ, GP				APPLEBY, JB; QUINN, R; PEZ, GP			NEW FACILITATED TRANSPORT MEMBRANES AND ABSORBENTS FOR THE SEPARATION OF HYDROGEN-SULFIDE	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY			English	Meeting Abstract									AIR PROD & CHEM INC,ALLENTOWN,PA 18195								0	0	0	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036	0065-7727			ABSTR PAP AM CHEM S	Abstr. Pap. Am. Chem. Soc.	MAR 28	1993	205		1				179	IEC				0	Chemistry, Multidisciplinary	Chemistry	KQ981	WOS:A1993KQ98102344		
J	FUNKE, HH; NOBLE, RD; KOVAL, CA				FUNKE, HH; NOBLE, RD; KOVAL, CA			SEPARATION OF GASEOUS OLEFIN ISOMERS USING FACILITATED TRANSPORT MEMBRANES	JOURNAL OF MEMBRANE SCIENCE			English	Article						FACILITATED TRANSPORT; OLEFIN SEPARATION; GAS SEPARATIONS; ION EXCHANGE MEMBRANES		The sorption and transport of c-2-butene and t-2-butene in hydrated Nafion cation exchange membranes containing Ag+ ions and Na+ ions has been studied. The results of the flux measurements at 298.2 K and at feed pressures of up to 3 bars indicate that for c-2-butene/t-2-butene mixtures, a competitive effect in the Ag+ membranes occurs which increases the selectivity from the ideal Value of 1.4 calculated from pure gas fluxes to about 1.9-2.7 depending on the feed composition. Even at the highest feed gas concentrations the mixed gas selectivities do not drop below 1.9. The mixed gas solubility data of the Ag+ membranes show the same enhancement in selectivity compared to the ideal sorption selectivity calculated from pure gas solubilities. All experimental results can be described consistently with a reaction equilibrium model which does not require any adjustable parameters.	UNIV COLORADO,DEPT CHEM ENGN,BOULDER,CO 80309; UNIV COLORADO,DEPT CHEM & BIOCHEM,BOULDER,CO 80309								15	11	14	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	JUL 29	1993	82	3					229	236		10.1016/0376-7388(93)85187-2		8	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	MK788	WOS:A1993MK78800002		
J	ALONSO, AI; URTIAGA, AM; IRABIEN, A; ORTIZ, MI				ALONSO, AI; URTIAGA, AM; IRABIEN, A; ORTIZ, MI			EXTRACTION OF CR(VI) WITH ALIQUAT-336 IN HOLLOW-FIBER CONTACTORS - MASS-TRANSFER ANALYSIS AND MODELING	CHEMICAL ENGINEERING SCIENCE			English	Article							SUPPORTED LIQUID MEMBRANES; COUPLED TRANSPORT MEMBRANES; SEPARATION CONCENTRATION; FACILITATED TRANSPORT; URANIUM TRANSPORT; UPHILL TRANSPORT; TERTIARY AMINE; KINETICS; METAL; DEVICES	In this work the mass transfer analysis and modeling of the hollow fiber non-dispersive liquid-liquid extraction of Cr(VI) with Aliquat 336 is reported. Experimental results corresponding to different values of the initial concentration of Cr(VI) in the aqueous phase in the range 50 g/m3 less-than-or-equal-to C0 less-than-or-equal-to 500 g/M3 Showed three different diffusional regimes depending on both the initial concentration of Cr(VI) and the linear velocities of the aqueous phase: (i) kinetic control of the mass transport in the aqueous phase, (ii) kinetic control of the mass transport through the membrane fiber wall and (iii) an intermediate region where the control is shared between the aqueous and the membrane phases. The integration of the mass conservation equation with a nonlinear equilibrium condition at the fiber wall agrees satisfactorily with the results of experiments performed at different initial concentrations of Cr(VI) and different values of the linear velocity of the aqueous phase in the range C0 greater-than-or-equal-to 50 g/m3 and 2.95 x 10(-3) m/s less-than-or-equal-to v less-than-or-equal-to 1.18 x 10(-2) m/s. An optimization of the parameters D, solute diffusivity in the aqueous phase, and K(eq), equilibrium constant of the extraction chemical reaction, with all the experimental results, using as criterion the minimum weighted standard deviation, gave as a result the value of the parameter D = 2.3 x 10(-9) m2/s and values of K(eq) dependent upon the initial concentration of Cr(VI) in the feed solution. The mass transfer model and parameters reported in this work are useful for the design and optimization of the nondispersive extraction of Cr(VI) in a hollow fiber module.	UNIV CANTABRIA,EPSI,DEPT QUIM,C SEVILLA 6,E-39001 SANTANDER,SPAIN			Ortiz, Inmaculada/K-8570-2014; Irabien, A/I-4395-2014	Ortiz, Inmaculada/0000-0002-3257-4821; Irabien, A/0000-0002-2411-4163				46	90	91	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB	0009-2509			CHEM ENG SCI	Chem. Eng. Sci.	MAR	1994	49	6					901	909		10.1016/0009-2509(94)80026-X		9	Engineering, Chemical	Engineering	MW809	WOS:A1994MW80900011		
J	LIN, YS; WANG, WJ; HAN, JH				LIN, YS; WANG, WJ; HAN, JH			OXYGEN PERMEATION THROUGH THIN MIXED-CONDUCTING SOLID OXIDE MEMBRANES	AICHE JOURNAL			English	Article							ELECTROCHEMICAL VAPOR-DEPOSITION; STABILIZED ZIRCONIA FILMS; MECHANISM	A new approach for developing fundamental equations of oxygen permeation through thin mixed-conducting oxide ceramic is presented considering both surface reactions on membrane-gas interfaces and the diffusion of charged species in the bulk oxide. The essence of this work is the coupling of surface reactions with the bulk diffusion using a novel approach which differs from the conventional Wagner theory applicable only to limited cases. With this approach, fundamental equations based on various permeation mechanisms can be derived for oxygen permeation through thin mixed-conducting oxide membranes, which is impossible using conventional approach. In general, the final results are a complex implicit equation correlating the oxygen permeation flux to the driving force, membrane thickness, and rate constants with physical significance in each step. Somewhat simpler theoretical oxygen permeation equations are obtained for some special cases (mixed-conducting membranes with a rate-limiting step, ionic-conducting membranes, ionic-conducting membranes with a reducing agent in permeate side). Theoretical results derived using this new approach agree excellently with the experimental oxygen permeation data. It is theoretically and experimentally shown that for ionic conductors, the surface permeation parameter measured by the dynamic permeation method is directly related to the oxygen isotope exchange rate constant measured under equilibrium conditions.		LIN, YS (reprint author), UNIV CINCINNATI,DEPT CHEM ENGN,CINCINNATI,OH 45221, USA.		Lin, Jerry/F-1235-2010					36	79	83	AMER INST CHEMICAL ENGINEERS	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017	0001-1541			AICHE J	AICHE J.	MAY	1994	40	5					786	798		10.1002/aic.690400506		13	Engineering, Chemical	Engineering	NK034	WOS:A1994NK03400005		
J	DERETIC, D; HUBER, LA; RANSOM, N; MANCINI, M; SIMONS, K; PAPERMASTER, DS				DERETIC, D; HUBER, LA; RANSOM, N; MANCINI, M; SIMONS, K; PAPERMASTER, DS			RAB8 IN RETINAL PHOTORECEPTORS MAY PARTICIPATE IN RHODOPSIN TRANSPORT AND IN ROD OUTER SEGMENT DISK MORPHOGENESIS	JOURNAL OF CELL SCIENCE			English	Article						RAB PROTEIN; SMALL GTP-BINDING PROTEIN; RHODOPSIN; MEMBRANE TRANSPORT AND SORTING	GTP-BINDING PROTEIN; ADP-RIBOSYLATION FACTOR; GERANYLGERANYL TRANSFERASE; PLASMA-MEMBRANE; EXOCYTIC PATHWAY; HUMAN-PLATELETS; COMPONENT-A; GOLGI; VESICLES; ACTIN	Small GTP-binding protein rab8 regulates transport from the TGN to the basolateral plasma membrane in epithelial cells and to the dendritic plasma membrane in cultured hippocampal neurons. In our approach to identify proteins involved in rhodopsin transport and sorting in retinal photoreceptors, we have found, using [P-32]GTP overlays of 2D gel blots, that six small GTP-binding proteins are tightly bound to the post-Golgi membranes immunoisolated with a mAb to the cytoplasmic domain of frog rhodopsin. We report here that one of these proteins is rab8. About 50% of photoreceptor rab8 is membrane associated and similar to 13% is tightly bound to the post-Golgi vesicles. By confocal microscopy, antibody to rab8 specifically labels calycal processes and the actin bundles of the photoreceptor inner segment that extend inward to the junctional complexes that comprise the outer limiting membrane. Anti-rab8 shows a striking periodicity of high density labeling at 1+/-0.12 mu m intervals along the actin bundles. Rhodopsin-bearing post-Golgi membranes cluster around the base of the cilium where rab8 and actin are also co-localized, as revealed by confocal microscopy of retinal sections double labeled with anti-rab8 and phalloidin. Microfilaments have been implicated in rod outer segment (ROS) disk morphogenesis. Our data suggest that rab6, which we have previously localized to the post-Golgi compartment, and rab8 associate with the post-Golgi membranes sequentially at different stages of transport, rab8 may mediate later steps that involve interaction of transport membranes with actin filaments and may participate in microfilament- dependent ROS disk morphogenesis.	UNIV TEXAS,HLTH SCI CTR,INST BIOTECHNOL,SAN ANTONIO,TX 78284; EUROPEAN MOLEC BIOL LAB,CELL BIOL PROGRAMME,W-6900 HEIDELBERG,GERMANY	DERETIC, D (reprint author), UNIV TEXAS,HLTH SCI CTR,DEPT PATHOL,SAN ANTONIO,TX 78284, USA.							48	95	99	COMPANY OF BIOLOGISTS LTD	CAMBRIDGE	BIDDER BUILDING CAMBRIDGE COMMERCIAL PARK COWLEY RD, CAMBRIDGE, CAMBS, ENGLAND CB4 4DL	0021-9533			J CELL SCI	J. Cell Sci.	JAN	1995	108		1				215	224				10	Cell Biology	Cell Biology	QG255	WOS:A1995QG25500021	7738098	
J	STEELE, BCH				STEELE, BCH			INTERFACIAL REACTIONS ASSOCIATED WITH CERAMIC ION-TRANSPORT MEMBRANES	SOLID STATE IONICS			English	Article; Proceedings Paper	Meeting on Interfaces in Ionic Materials	MAR 07-11, 1994	MUNICH, GERMANY	MAX PLANCK SOC, DUET FORSCHUNGSGEMEINSCH, UNS, OFF NAVAL RES	SCHLOSS RINGBERG	INTERFACIAL REACTIONS; IONIC TRANSPORT	OXYGEN	Assuming ohmic behaviour for the relevant interfacial kinetics a simple equivalent circuit has been used to identify experimentally accessible parameters which may control the oxygen flux through a variety of technological devices. In particular the oxygen surface exchange coefficient (k cm s(-1)), which can be determined by isotopic exchange measurements is proportional to a characteristic electrode current density (j(E) A cm(-2)) which determines the electrode resistance (R(E) Omega cm(2)) in solid-state electrochemical systems. For ceramic ion-conducting membranes a characteristic membrane thickness (L(c)) at which the changeover from bulk to surface control occurs is shown to be equal to D-*/k where D-* (cm(2) s(-1)) is the oxygen self-diffusion coefficient in the oxide material. Attention is also drawn to correlations between D and k. It is noted, for example, that the ratio D/k often has a value around 10(-2) cm (100 mu m) for most AO(2) fluorite and ABO(3) perovskite oxide materials, which implies that fabricating membranes less than 100 mu m thick will not be advantageous unless the value of k can be specifically increased. Mechanisms responsible for correlations between D and k remain obscure and should be a fruitful area for further investigations. Finally, specific examples of materials selection for ceramic fuel cell operation over a wide range of temperatures (450-1000 degrees C) are briefly surveyed.		STEELE, BCH (reprint author), UNIV LONDON IMPERIAL COLL SCI & TECHNOL,DEPT MAT,LONDON SW7 2BP,ENGLAND.							27	207	211	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0167-2738			SOLID STATE IONICS	Solid State Ion.	JAN	1995	75						157	165		10.1016/0167-2738(94)00182-R		9	Chemistry, Physical; Physics, Condensed Matter	Chemistry; Physics	QK294	WOS:A1995QK29400018		
J	REICHWEINBITENHUIS, EG; VISSER, HC; DEJONG, F; REINHOUDT, DN				REICHWEINBITENHUIS, EG; VISSER, HC; DEJONG, F; REINHOUDT, DN			KINETIC VERSUS DIFFUSION CONTROL IN CARRIER-MEDIATED COTRANSPORT OF ALKALI CATIONS THROUGH SUPPORTED LIQUID MEMBRANES	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY			English	Article							DI(2-ETHYLHEXYL) PHOSPHORIC-ACID; COUPLED TRANSPORT MEMBRANES; AQUEOUS SULFATE-SOLUTION; RIGIDIFIED CALIX<4>ARENES; STABLE COMPLEXES; ION-TRANSPORT; CROWN ETHERS; COPPER; DIBENZO-18-CROWN-6; CALIXCROWNS	Usually, the rate-limiting step of alkali cation transport through supported liquid membranes (SLM) mediated by neutral carriers is the diffusion of the carrier cation complex through the membrane. However, in this study, it is demonstrated that some macrocyclic carriers like calix[4]arene crown ethers and calixspherands show such slow kinetics of decomplexation that the release of salt from the membrane strongly affects the transport rates. The influence of rates of decomplexation on alkali cation transport can be described by a simple mathematical model. Data for the rate-limiting steps in the transport process have been obtained from maximum fluxes, lag-time measurements, temperature variation, and membrane permeation experiments with dyes. The relative contributions of diffusive and kinetic resistances inside the SLM were determined by variation of the membrane thickness. When kinetics of release are relatively slow, the transport selectivity (K+/Na+) is lower than in the transport regime of diffusion limitation.	UNIV TWENTE,DEPT ORGAN CHEM,7500 AE ENSCHEDE,NETHERLANDS			Reinhoudt, David/K-4767-2012					36	40	40	AMER CHEMICAL SOC	WASHINGTON	PO BOX 57136, WASHINGTON, DC 20037-0136	0002-7863			J AM CHEM SOC	J. Am. Chem. Soc.	APR 12	1995	117	14					3913	3921		10.1021/ja00119a004		9	Chemistry, Multidisciplinary	Chemistry	QT132	WOS:A1995QT13200004		
J	LACAN, P; GUIZARD, C; LEGALL, P; WETTLING, D; COT, L				LACAN, P; GUIZARD, C; LEGALL, P; WETTLING, D; COT, L			FACILITATED TRANSPORT OF IONS THROUGH FIXED-SITE CARRIER MEMBRANES DERIVED FROM HYBRID ORGANIC-INORGANIC MATERIALS	JOURNAL OF MEMBRANE SCIENCE			English	Article						FACILITATED TRANSPORT; BENZO-15-CROWN-5; FIXED-SITE CARRIER MEMBRANE; ION TRANSPORT; SELECTIVE TRANSPORT	SUPPORTED LIQUID MEMBRANES; ACID; MECHANISM; SYSTEMS; OXYGEN	Heteropolysiloxanes (HPS) or ormosils belong to the class of hybrid organic-inorganic materials prepared by sol-gel technology and satisfy two requirements necessary to prepare facilitated transport membranes: they are synthesized at low temperature and their organic functions allow the chemical grafting of carriers such as crown-ethers. The preparation of grafted benzo-15-crown-5 membranes and the results concerning transport experiments are reported here. It has been demonstrated that covalently bound carriers allow facilitated transport of K+ ions versus Li+ ions to take place with high diffusion rates, high facilitation factor and good selectivity. The special role of counter-ion is also put forward and discussed. A transport mechanism which fits the experimental results is proposed.	KODAK PATHE,MAT SCI LAB,CTR RECH & TECHNOL,F-71102 CHALON SUR SAONE,FRANCE	LACAN, P (reprint author), LAB MAT & PROCEDES MEMBRAINES,CNRS,UMR 9987,8 RUE ECOLE NORMALE,F-34053 MONTPELLIER 01,FRANCE.							27	48	50	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	APR 14	1995	100	2					99	109		10.1016/0376-7388(94)00259-2		11	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	QX372	WOS:A1995QX37200004		
J	PARTRIDGE, AC				PARTRIDGE, AC			ION-TRANSPORT MEMBRANES BASED ON CONDUCTING POLYMERS	ELECTROCHIMICA ACTA			English	Note						MEMBRANE; POLYPYRROLE; TRANSPORT; CATION; SELECTIVITY		The transport of cations (Na+ K+ and Ca2+) through a conducting polymer membrane is demonstrated. Transport was achieved by the application of a potential gradient across the membrane. The results have far reaching significance in the development of tailored membranes for separation technology.		PARTRIDGE, AC (reprint author), IND RES LTD,POB 31-310,LOWER HUTT,NEW ZEALAND.							5	16	16	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB	0013-4686			ELECTROCHIM ACTA	Electrochim. Acta	JUN	1995	40	9					1199	1202		10.1016/0013-4686(95)00021-6		4	Electrochemistry	Electrochemistry	RD197	WOS:A1995RD19700016		
J	HUANG, MR; LI, XG				HUANG, MR; LI, XG			PREPARATION AND AIR-SEPARATION PROPERTIES OF MEMBRANE BLENDS OF LOW-MOLECULAR-WEIGHT LIQUID-CRYSTALS WITH CELLULOSE DERIVATIVES	GAS SEPARATION & PURIFICATION			English	Article						LIQUID CRYSTAL; CELLULOSE DERIVATIVE; BLEND MEMBRANE; AIR SEPARATION; OXYGEN ENRICHMENT	FACILITATED-TRANSPORT MEMBRANES; OXYGEN	Four kinds of low-molecular-weight liquid crystals (LCs) (cholesteryl oleyl carbonate (COC), the benzoate-containing mixture LC DYC, p-heptyl-p'-cyanobiphenyl (7CB), p-phentylphenol-p'-methoxybenzoate (5PMB) and four cellulose derivatives (ethyl cellulose (EC), cellulose diacetate, cellulose triacetate, cellulose nitrate) were used to prepare blend membranes of thickness 13-45 mum by a solution casting technique. The oxygen permeability, the oxygen/nitrogen separation factor, the permeation flux Q(OEA) and the oxygen concentration Y(o2) of the oxygen-enriched air (OEA) through the cellulose derivative membranes with different LCs were studied by a constant pressure-variable volume method. The experimental results show that the membrane-forming ability, uniformity, toughness and air-separation properties of the cellulose derivatives have been improved by adding no more than 12 wt% LC. The air-separation properties of the resulting membranes vary significantly with membrane composition, temperature and pressure difference. Of all the membranes, the COC/EC (4/96) membrane of thickness 18 mum exhibits the highest Q(OEA) value of 1.8 x 10(-4) cm3 (STP) s-1 cm-2 and maintains the Y(o2) value of 38.8% in a single operation.	TIANJIN INST TEXT SCI & TECHNOL,DEPT TEXT CHEM,CTR MEMBRANE SEPARAT ENGN,TIANJIN 300160,PEOPLES R CHINA								12	19	19	BUTTERWORTH-HEINEMANN LTD	OXFORD	LINACRE HOUSE JORDAN HILL, OXFORD, OXON, ENGLAND OX2 8DP	0950-4214			GAS SEP PURIF	Gas Sep. Purif.	JUN	1995	9	2					87	92		10.1016/0950-4214(95)93945-G		6	Engineering, Chemical	Engineering	RA827	WOS:A1995RA82700003		
J	QUINN, R; APPLEBY, JB; PEZ, GP				QUINN, R; APPLEBY, JB; PEZ, GP			NEW FACILITATED TRANSPORT MEMBRANES FOR THE SEPARATION OF CARBON-DIOXIDE FROM HYDROGEN AND METHANE	JOURNAL OF MEMBRANE SCIENCE			English	Article						GAS SEPARATIONS; FACILITATED TRANSPORT; LIQUID MEMBRANES; MOLTEN SALT HYDRATE MEMBRANES; CARBON DIOXIDE	ION-EXCHANGE MEMBRANES	New facilitated transport membranes which selectively permeate carbon dioxide from hydrogen and methane have been prepared and examined under a variety of conditions. Membranes consist of melts of the salt hydrates tetramethylammonium fluoride tetrahydrate, [(CH3)(4)N]F . 4H(2)O, or tetraethylammonium acetate tetrahydrate, [(C2H5)(4)N]CH3CO2 . 4H(2)O, immobilized in films of Celgard 3401(R). Operating at 50 degrees C, both membranes exhibited CO2 permeabilities which increased with decreasing feed partial pressure of CO2, characteristic of a facilitated transport membrane. Selectivities of CO2/H-2 and of CO2/CH4 increased with decreasing feed pressure since H-2 and CH4 permeances were independent of feed pressure. Selectivities of CO2/H-2 were disappointingly low due to permeation of H-2 through the dense phase of Celgard(R). With some difficulty, the microporous support was eliminated by construction of membranes consisting of liquid [(CH3)(4)N]F . 4H(2)O on the surface of a film of poly( trimethylsilylpropyne). Selectivities of CO2/H-2 as high as 360 were then observed at low feed partial pressures of CO2. Modeling of membrane properties is consistent with permeation of CO2 by a facilitated transport mechanism with reasonable derived diffusivities for the chemically bound CO2 carrier species.		QUINN, R (reprint author), AIR PROD & CHEM INC,CTR CORP SCI & TECHNOL,7201 HAMILTON BLVD,ALLENTOWN,PA 18195, USA.							25	63	67	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	AUG 15	1995	104	1-2					139	146		10.1016/0376-7388(95)00021-4		8	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	RQ024	WOS:A1995RQ02400013		
J	Koltover, VK				Koltover, VK			Reliability of mitochondrial electron-transport membranes and the role of superoxide radicals in aging	KHIMICHESKAYA FIZIKA			Russian	Article										Koltover, VK (reprint author), RUSSIAN ACAD SCI,INST CHEM PHYS,CHERNOGOLOVKA 142432,RUSSIA.							21	1	3	MEZHDUNARODNAYA KNIGA	MOSCOW	39 DIMITROVA UL., 113095 MOSCOW, RUSSIA	0207-401X			KHIM FIZ	Khimicheskaya Fiz.		1996	15	1					101	106				6	Physics, Atomic, Molecular & Chemical	Physics	TX957	WOS:A1996TX95700008		
J	Koltover, VK				Koltover, VK			Reliability of mitochondrial electron-transport membranes and its implication for ageing.	PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY			English	Meeting Abstract									RAN,INST PHYS CHEM,CHERNOGOLOVKA,RUSSIA								0	0	0	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB	0079-6107			PROG BIOPHYS MOL BIO	Prog. Biophys. Mol. Biol.		1996	65			1			PC458	PC458				1	Biochemistry & Molecular Biology; Biophysics	Biochemistry & Molecular Biology; Biophysics	WE753	WOS:A1996WE75300489		
J	Bryant, DL; Noble, RD; Koval, CA				Bryant, DL; Noble, RD; Koval, CA			Facilitated transport separation of benzene and cyclohexane with poly(vinyl alcohol)-AgNO3 membranes	JOURNAL OF MEMBRANE SCIENCE			English	Article						facilitated transport; organic separations	PERVAPORATION; MIXTURES; POLYMERIZATION; SORPTION	Facilitated transport membranes of poly(vinyl alcohol) containing Ag(I) ions as the carrier were prepared and characterized using ultraviolet-visible spectroscopy (W-Vis), elemental analysis (ICP-AE), scanning electron microscopy (SEM), and SEM(EDXR). Transport experiments were performed using benzene/cyclohexane feed mixtures having volume ratios of 8/2 and 2/8 (v/v). Permeation rates for benzene ranged 0.5-5.5 kg mu m m(-2) h(-1) and benzene/cyclohexane selectivities ranged 51-84, Effects on membrane performance of Ag(I) content, counter ion used, hydration, and degree of cross-linking were investigated.	UNIV COLORADO,DEPT CHEM & BIOCHEM,BOULDER,CO 80309; UNIV COLORADO,DEPT CHEM ENGN,BOULDER,CO 80309								14	29	31	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	MAY 14	1997	127	2					161	170		10.1016/S0376-7388(96)00267-0		10	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	XC610	WOS:A1997XC61000005		
J	Quinn, R; Laciak, DV				Quinn, R; Laciak, DV			Polyelectrolyte membranes for acid gas separations	JOURNAL OF MEMBRANE SCIENCE			English	Article						gas separations; facilitated transport; polyelectrolyte membranes; carbon dioxide	CARBON-DIOXIDE; FACILITATED TRANSPORT; SILICONE POLYMERS; HYDROGEN; PERMEABILITY; AMMONIA	New facilitated transport membranes have been synthesized and shown to selectively permeate carbon dioxide and hydrogen sulfide from methane and hydrogen. The membranes are based on the polyelectrolyte poly(vinylbenzyltrimethylammonium fluoride), PVBTAF, and exhibit exceptional permselective properties. For example, at 23 degrees C and 32 cmHg CO2, a PVBTAF composite membrane displayed a CO2 permeance of 6x10(-6) cm(3)/cm(2)s cmHg and CO2/H-2 and CO2/CH4 selectivities of 87 and 1000, respectively. The CO2/H-2 selectivity is the highest reported for any membrane. The permeance of both CO2 and H2S increased with decreasing feed partial pressure of the respective gases, a characteristic of facilitated transport membranes. The permselectivity is also dependent on the hydration state of the membrane and is optimal at a gas stream relative humidity in the range 0.25-0.50. The membranes show no deterioration after 30 days of continuous operation but react with trace level sulfur-containing contaminants common to cylinder H2S.		Quinn, R (reprint author), AIR PROD & CHEM INC,CORP SCI & TECHNOL CTR,7201 HAMILTON BLVD,ALLENTOWN,PA 18195, USA.							29	46	49	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	AUG 6	1997	131	1-2					49	60		10.1016/S0376-7388(97)00024-0		12	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	XP643	WOS:A1997XP64300005		
J	Koizumi, S; Imato, T; Ishibashi, N				Koizumi, S; Imato, T; Ishibashi, N			Bi-ionic membrane potential across a liquid anion-exchange membrane containing triphenyltin chloride	JOURNAL OF MEMBRANE SCIENCE			English	Article						additivity; bi-ionic membrane potential; liquid anion-exchange membrane; triphenyltin chloride	COUPLED TRANSPORT MEMBRANES; SELECTIVE ELECTRODE; CATION-TRANSPORT; CARRIER; DERIVATIVES	Potentiometric selectivities of a liquid anion-exchange membrane containing triphenyltin chloride (TPTCl) to several inorganic anions were evaluated via measurements of the membrane potential of a bi-ionic system, also called bi-ionic membrane potential. Addition of TPTCl to the liquid anion-exchange membrane, based on the quaternary ammonium salt, gave rise to a quite different selectivity pattern from the so-called Hofmeister anion series observed for the liquid anion-exchange membrane. An additivity rule of the bi-ionic membrane potential was observed to hold for the Liquid anion-exchange membrane containing TPTCl. Thus, the following multiple chain rule was derived for selectivity coefficients; k(1,n)(pot) = K-1,2(pot) . K-2,3(pot) ... K-i,K-(i+1)(pot) ... K-n-1,n(pot), where K-i,i+1(pot) is the selectivity coefficient of the membrane for the (i+1)th ion over the ith ion.	KYUSHU UNIV,FAC ENGN,HIGASHI KU,FUKUOKA 812,JAPAN; FUKUI NATL COLL TECHNOL,DEPT IND CHEM,SABAE 916,JAPAN								37	8	8	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	SEP 3	1997	132	2					149	158		10.1016/S0376-7388(97)00075-6		10	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	XV095	WOS:A1997XV09500001		
J	Partridge, AC; Milestone, C; Too, CO; Wallace, GG				Partridge, AC; Milestone, C; Too, CO; Wallace, GG			Ion transport membranes based on conducting polymers	JOURNAL OF MEMBRANE SCIENCE			English	Article						cation; ion transport membranes; polypyrrole; SEM	ELECTROCHEMICALLY CONTROLLED TRANSPORT; 2 ELECTROLYTE-SOLUTIONS; POLYPYRROLE MEMBRANES	Polypyrrole membranes containing four different dopant ions were prepared galvanostatically from aqueous solutions of pyrrole (0.1 M) and the appropriate counter ion salt (0.1 M). The transport of mono-valent cations through each membrane was achieved by applying a potential gradient across the membranes. The influence of a number of set up parameters on the flux of K+ ions across a PPy/pTS membrane was assessed, as well as the relative selectivities of the four membrane types for the mono-valent cations; Li+, Na+, K+, Rb+ and Cs+.	UNIV WOLLONGONG,DEPT CHEM,IPRL,WOLLONGONG,NSW 2522,AUSTRALIA	Partridge, AC (reprint author), IND RES LTD,GRACEFIELD RES CTR,POB 31-310,LOWER HUTT,NEW ZEALAND.		Wallace, Gordon/H-1123-2011	Wallace, Gordon/0000-0002-0381-7273				19	26	27	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0376-7388			J MEMBRANE SCI	J. Membr. Sci.	SEP 3	1997	132	2					245	253		10.1016/S0376-7388(97)00072-0		9	Engineering, Chemical; Polymer Science	Engineering; Polymer Science	XV095	WOS:A1997XV09500009		
J	Goering, RM; Bowman, CN; Koval, CA; Noble, RD				Goering, RM; Bowman, CN; Koval, CA; Noble, RD			Mechanisms of olefin transport through facilitated transport membranes.	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY			English	Meeting Abstract									UNIV COLORADO,DEPT CHEM ENGN,BOULDER,CO 80309; UNIV COLORADO,DEPT CHEM,BOULDER,CO 80309			Bowman, Christopher/B-1490-2008	Bowman, Christopher/0000-0001-8458-7723				0	0	0	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036	0065-7727			ABSTR PAP AM CHEM S	Abstr. Pap. Am. Chem. Soc.	SEP 7	1997	214		2				58	PMSE				1	Chemistry, Multidisciplinary	Chemistry	XQ859	WOS:A1997XQ85901320		
